product_name,brand_slug,category_slug,subcategory,gender,price,original_price,availability,product_url,product_image_url,store_slug
Shirring Boat Neck Sleeveless T-Shirt,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,9.9,9.9,In Stock,https://www.uniqlo.com/us/en/products/E485673-000/37?colorDisplayCode=37,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/485673/item/usgoods_37_485673_3x4.jpg,uniqlo-store
Washable Knit Bra Top,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,39.9,39.9,In Stock,https://www.uniqlo.com/us/en/products/E488457-000/09?colorDisplayCode=09,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/488457/item/usgoods_09_488457_3x4.jpg,uniqlo-store
Ribbed Lace V-Neck Camisole,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,14.9,14.9,In Stock,https://www.uniqlo.com/us/en/products/E489044-000/69?colorDisplayCode=69,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/489044/item/usgoods_69_489044_3x4.jpg,uniqlo-store
Racer Back Bra Top,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,29.9,29.9,In Stock,https://www.uniqlo.com/us/en/products/E482839-000/02?colorDisplayCode=02,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/482839/item/usgoods_02_482839_3x4.jpg,uniqlo-store
AIRism Bra Top,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,29.9,29.9,In Stock,https://www.uniqlo.com/us/en/products/E473980-000/02?colorDisplayCode=02,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/473980/item/usgoods_02_473980_3x4.jpg,uniqlo-store
Ribbed Cropped Bra Top,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,29.9,29.9,In Stock,https://www.uniqlo.com/us/en/products/E482195-000/60?colorDisplayCode=60,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/482195/item/usgoods_60_482195_3x4.jpg,uniqlo-store
Cropped Square Neck Sleeveless Top,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,14.9,14.9,In Stock,https://www.uniqlo.com/us/en/products/E487119-000/68?colorDisplayCode=68,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/487119/item/usgoods_68_487119_3x4.jpg,uniqlo-store
AIRism Sleeveless Top,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,14.9,14.9,In Stock,https://www.uniqlo.com/us/en/products/E457912-000/60?colorDisplayCode=60,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/457912/item/usgoods_60_457912_3x4.jpg,uniqlo-store
Pointelle Printed Camisole,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,14.9,14.9,In Stock,https://www.uniqlo.com/us/en/products/E487121-000/01?colorDisplayCode=01,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/487121/item/usgoods_01_487121_3x4.jpg,uniqlo-store
Ribbed Sleeveless Top | Striped,uniqlo,t-shirts-sweats,Women's T-Shirts & Tops,Women,14.9,14.9,In Stock,https://www.uniqlo.com/us/en/products/E489483-000/16?colorDisplayCode=16,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/489483/item/usgoods_16_489483_3x4.jpg,uniqlo-store
Suede jacket with buttons,mango,jackets,leather,Women,179.99,429.99,In Stock,https://shop.mango.com/us/en/p/women/jackets/leather/suede-jacket-with-buttons/27051332/28/00,https://media.mango.com/is/image/punto/27051332-28-002,mango-store
Leather block-heel sandals,mango,shoes,heeled-sandals,Women,149.99,209.99,In Stock,https://shop.mango.com/us/en/p/women/shoes/heeled-sandals/leather-block-heel-sandals/37041443/32/00,https://media.mango.com/is/image/punto/37041443-32-016,mango-store
Wide leg studded jeans,mango,jeans,wide-leg,Women,69.99,139.99,In Stock,https://shop.mango.com/us/en/p/women/jeans/wide-leg/wide-leg-studded-jeans/27014101/32/00,https://media.mango.com/is/image/punto/27014101-32-002,mango-store
Asymmetrical satin dress with fringes,mango,dresses-and-jumpsuits,dresses,Women,299.99,400.0,In Stock,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/asymmetrical-satin-dress-with-fringes/27081211/17/00,https://media.mango.com/is/image/punto/27081211-17-001,mango-store
Halter jumpsuit with belt detail,mango,dresses-and-jumpsuits,halter,Women,59.99,99.99,In Stock,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/halter/halter-jumpsuit-with-belt-detail/37061389/05/00,https://media.mango.com/is/image/punto/37061389-05-001,mango-store
Cotton T-shirt with openwork embroidered detail,mango,t-shirts,basics,Women,22.99,45.99,In Stock,https://shop.mango.com/us/en/p/women/t-shirts/basics/cotton-t-shirt-with-openwork-embroidered-detail/37041354/01/00,https://media.mango.com/is/image/punto/37041354-01-002,mango-store
Cross-back linen blend romper,mango,dresses-and-jumpsuits,casual,Women,69.99,99.99,In Stock,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/casual/cross-back-linen-blend-romper/37032527/70/00,https://media.mango.com/is/image/punto/37032527-70-002,mango-store
Vest with buttons and pockets,mango,tops,gilets,Women,35.99,79.99,In Stock,https://shop.mango.com/us/en/p/women/tops/gilets/vest-with-buttons-and-pockets/37041431/99/00,https://media.mango.com/is/image/punto/37041431-99-001,mango-store
Leather straps sandals,mango,shoes,flat-sandals,Women,49.99,79.99,In Stock,https://shop.mango.com/us/en/p/women/shoes/flat-sandals/leather-straps-sandals/37052557/70/00,https://media.mango.com/is/image/punto/37052557-70-900,mango-store
Suit jacket with fitted waist,mango,blazers,fitted,Women,199.99,299.99,In Stock,https://shop.mango.com/us/en/p/women/blazers/fitted/suit-jacket-with-fitted-waist/37071451/99/00,https://media.mango.com/is/image/punto/37071451-99-008,mango-store
Wool-blend funnel-neck coat,mango,coats,coats,Women,119.99,249.99,In Stock,https://shop.mango.com/us/en/p/women/coats/coats/wool-blend-funnel-neck-coat/27051260/10/00,https://media.mango.com/is/image/punto/27051260-10-001,mango-store
A-line dress with stitching details,mango,dresses-and-jumpsuits,casual,Women,79.99,99.99,In Stock,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/casual/a-line-dress-with-stitching-details/37002895/62/00,https://media.mango.com/is/image/punto/37002895-62-002,mango-store
Wedge leather sandals,mango,shoes,heeled-sandals,Women,179.99,249.99,In Stock,https://shop.mango.com/us/en/p/women/shoes/heeled-sandals/wedge-leather-sandals/37031444/70/00,https://media.mango.com/is/image/punto/37031444-70-900,mango-store
Straight mid-rise Bermuda shorts,mango,shorts-and-bermuda-shorts,bermuda-shorts,Women,45.99,79.99,In Stock,https://shop.mango.com/us/en/p/women/shorts-and-bermuda-shorts/bermuda-shorts/straight-mid-rise-bermuda-shorts/37051431/99/00,https://media.mango.com/is/image/punto/37051431-99-001,mango-store
Belt linen jumpsuit,mango,dresses-and-jumpsuits,casual,Women,79.99,129.99,In Stock,https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/casual/belt-linen-jumpsuit/37082539/70/00,https://media.mango.com/is/image/punto/37082539-70-001,mango-store
Crocheted ballet flats with ankle strap,mango,shoes,ballet-flats,Women,49.99,79.99,In Stock,https://shop.mango.com/us/en/p/women/shoes/ballet-flats/crocheted-ballet-flats-with-ankle-strap/37051346/80/00,https://media.mango.com/is/image/punto/37051346-80-052,mango-store
